productCode,productName,productLine,productScale,productVendor,productDescription,quantityInStock,buyPrice,MSRP
S10_1678,1969 Harley Davidson Ultimate Chopper,Motorcycles,1:10,Min Lin Diecast,"This replica features working kickstand, front suspension.",7933,48.81,95.7
S10_1949,1952 Alpine Renault 1300,Classic Cars,1:10,Classic Metal Creations,Turnable front wheels; steering function; detailed interior.,7305,98.58,214.3
S12_1099,18th Century Vintage Horse Carriage,Vintage Cars,1:12,Red Start Diecast,Hand crafted diecast metal horse carriage.,6949,60.74,180.0
S12_3148,1969 Corvette Z28,Classic Cars,1:12,Autoart Studio Design,1969 Corvette Z28 diecast model.,8164,46.91,99.99
S18_1342,1937 Lincoln Berline,Vintage Cars,1:18,RC OPUS,Detailed exterior paint job in red.,8693,75.82,135.99
S18_2238,1998 Chrysler Plymouth Prowler,Classic Cars,1:18,Carousel DieCast Legends,Uniquely styled in yellow with chromed suspension.,9274,101.51,149.99
S18_4409,1932 Alfa Romeo 8C2300 Spider Sport,Classic Cars,1:18,Exoto Designs,"Features opening hood, doors, trunk.",9042,43.26,143.0
S24_1444,1970 Dodge Coronet,Classic Cars,1:24,Highway 66 Mini Classics,Detailed color and decal trim.,3420,43.71,65.0
S24_2840,1982 Camaro Z28,Classic Cars,1:24,Second Gear Diecast,"Features include opening trunk, working steering.",4772,50.81,131.44
S32_1374,1997 BMW F650 ST,Motorcycles,1:32,Autoart Studio Design,"Features include a silver engine, working steering.",1500,65.39,148.0
